time,yaw,pitch,roll
2020-12-06 22:41:16.6150,-162.3,32.97,-7.73
2020-12-06 22:41:16.7060,-165.0,33.07,-3.8
2020-12-06 22:41:16.8050,-174.42,34.42,-0.05
2020-12-06 22:41:16.9070,173.56,32.54,4.47
2020-12-06 22:41:17.0040,168.13,31.48,3.89
2020-12-06 22:41:17.1030,161.59,35.84,-12.42
2020-12-06 22:41:17.2030,157.7,44.64,-40.41
2020-12-06 22:41:17.3050,167.86,50.35,-81.91
2020-12-06 22:41:17.4020,178.24,40.6,-122.44
2020-12-06 22:41:17.5050,178.7,21.52,-152.06
2020-12-06 22:41:17.6050,167.68,12.73,-157.56
2020-12-06 22:41:17.7040,156.09,14.29,-154.25
2020-12-06 22:41:17.8040,148.72,14.55,-154.0
2020-12-06 22:41:17.9040,146.06,13.3,-157.09
2020-12-06 22:41:18.0040,145.35,11.42,-160.07
2020-12-06 22:41:18.1040,144.97,11.04,-161.69
2020-12-06 22:41:18.2040,144.83,11.73,-161.11
2020-12-06 22:41:18.3030,144.52,12.3,-158.95
2020-12-06 22:41:18.4030,144.96,14.15,-157.49
2020-12-06 22:41:18.5030,145.22,15.49,-156.67
2020-12-06 22:41:18.6030,145.98,15.78,-158.2
2020-12-06 22:41:18.7030,146.28,17.07,-158.63
2020-12-06 22:41:18.8020,146.2,17.08,-158.26
2020-12-06 22:41:18.9020,146.32,17.33,-159.24
2020-12-06 22:41:18.9980,146.46,18.35,-160.16
2020-12-06 22:41:19.1010,146.3,16.89,-160.77
2020-12-06 22:41:19.2010,145.98,16.37,-160.32
2020-12-06 22:41:19.3000,145.84,15.68,-160.37
2020-12-06 22:41:19.4000,145.82,14.68,-160.42
2020-12-06 22:41:19.5010,146.18,12.11,-161.06
2020-12-06 22:41:19.5990,146.16,11.9,-161.01
2020-12-06 22:41:19.6990,147.21,11.33,-159.58
2020-12-06 22:41:19.8000,148.13,9.62,-160.91
2020-12-06 22:41:19.8990,146.24,6.62,-162.65
2020-12-06 22:41:19.9970,147.24,7.67,-163.42
2020-12-06 22:41:20.0970,149.89,10.53,-164.59
2020-12-06 22:41:20.1990,149.06,10.79,-164.77
2020-12-06 22:41:20.2980,146.23,8.42,-164.38
2020-12-06 22:41:20.3980,144.72,8.08,-163.53
2020-12-06 22:41:20.4980,144.26,7.21,-163.33
2020-12-06 22:41:20.5960,143.64,3.98,-162.71
2020-12-06 22:41:20.6900,142.58,2.13,-163.26
2020-12-06 22:41:20.7890,143.35,3.51,-164.34
2020-12-06 22:41:20.8900,144.01,5.55,-165.22
2020-12-06 22:41:20.9890,142.78,5.63,-165.48
2020-12-06 22:41:21.0890,142.59,6.75,-165.28
2020-12-06 22:41:21.1920,143.12,7.53,-165.58
2020-12-06 22:41:21.2910,142.47,6.67,-166.64
2020-12-06 22:41:21.3910,142.47,6.15,-165.81
2020-12-06 22:41:21.4910,142.79,5.74,-165.68
2020-12-06 22:41:21.5910,142.95,5.12,-166.5
2020-12-06 22:41:21.6910,143.03,4.39,-167.45
2020-12-06 22:41:21.7900,143.13,4.49,-167.15
2020-12-06 22:41:21.8900,143.2,4.88,-167.33
2020-12-06 22:41:21.9900,143.32,6.11,-166.66
2020-12-06 22:41:22.0900,143.69,6.38,-166.78
2020-12-06 22:41:22.1890,144.36,7.91,-167.17
2020-12-06 22:41:22.2890,144.73,9.51,-168.02
2020-12-06 22:41:22.3890,144.89,12.16,-167.62
2020-12-06 22:41:22.4890,144.88,15.16,-166.5
2020-12-06 22:41:22.5890,145.32,15.25,-165.51
2020-12-06 22:41:22.6880,145.15,15.07,-165.95
2020-12-06 22:41:22.7880,145.4,14.23,-167.3
2020-12-06 22:41:22.8880,145.27,12.37,-167.15
2020-12-06 22:41:22.9880,145.06,11.18,-167.29
2020-12-06 22:41:23.0880,145.21,9.91,-166.67
2020-12-06 22:41:23.1870,144.99,9.35,-167.18
2020-12-06 22:41:23.2870,144.39,7.62,-167.88
2020-12-06 22:41:23.3870,144.58,7.91,-167.87
2020-12-06 22:41:23.4870,145.51,7.67,-168.97
2020-12-06 22:41:23.5860,145.64,8.72,-169.02
2020-12-06 22:41:23.6860,145.78,9.25,-170.29
2020-12-06 22:41:23.7860,146.53,11.14,-170.97
2020-12-06 22:41:23.8860,147.65,13.04,-171.82
2020-12-06 22:41:23.9900,148.07,13.94,-172.63
2020-12-06 22:41:24.0900,148.06,14.47,-173.0
2020-12-06 22:41:24.1900,147.61,14.67,-172.82
2020-12-06 22:41:24.2890,146.83,13.76,-172.22
2020-12-06 22:41:24.3900,146.04,12.34,-171.55
2020-12-06 22:41:24.4900,145.87,11.37,-171.64
2020-12-06 22:41:24.5880,146.46,10.96,-172.15
2020-12-06 22:41:24.6840,146.78,11.48,-171.8
2020-12-06 22:41:24.7860,147.24,11.89,-172.31
2020-12-06 22:41:24.8840,148.3,13.5,-172.56
2020-12-06 22:41:24.9820,149.07,13.65,-174.32
2020-12-06 22:41:25.0840,149.12,12.7,-175.25
2020-12-06 22:41:25.1940,149.05,14.28,-174.63
2020-12-06 22:41:25.2940,149.36,14.14,-175.97
2020-12-06 22:41:25.3930,148.65,13.16,-175.11
2020-12-06 22:41:25.4920,147.67,11.84,-174.33
2020-12-06 22:41:25.5920,147.08,10.74,-173.67
2020-12-06 22:41:25.6930,146.61,10.03,-173.05
2020-12-06 22:41:25.7920,146.52,9.46,-173.0
2020-12-06 22:41:25.8920,146.56,9.58,-172.19
2020-12-06 22:41:25.9940,146.73,9.45,-172.01
2020-12-06 22:41:26.0920,146.51,8.0,-171.87
2020-12-06 22:41:26.1910,146.32,7.47,-171.18
