time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001,-0.00,-0.00,-0.00
0.002,-0.00,-0.00,-0.00
0.002,-0.00,0.00,-0.00
0.002,0.00,-0.00,-0.00
0.002,0.00,-0.00,-0.00
0.006,0.00,0.00,-0.00
0.007,0.00,0.00,0.00
0.010,0.00,0.00,0.00
0.012,0.00,-0.00,-0.00
0.015,0.00,0.00,0.00
0.017,0.00,-0.00,-0.00
0.021,0.00,0.00,-0.00
0.022,0.00,0.00,-0.00
0.025,-0.00,0.00,0.00
0.028,-0.00,0.00,0.00
0.030,0.00,0.00,0.00
0.035,-0.00,0.00,-0.00
0.035,-0.00,-0.00,-0.00
0.038,0.00,0.00,-0.00
0.040,-0.00,0.00,-0.00
0.046,0.00,0.00,-0.00
0.046,0.00,0.00,-0.00
0.048,-0.00,0.00,-0.00
0.050,-0.00,0.00,-0.00
0.053,-0.00,-0.00,0.00
0.056,-0.00,0.00,0.00
0.058,0.00,-0.00,-0.00
0.061,-0.00,0.00,-0.00
0.063,-0.00,-0.00,-0.00
0.066,-0.00,0.00,-0.00
0.068,0.00,0.00,-0.00
0.071,0.00,-0.00,-0.00
0.073,-0.00,0.00,-0.00
0.076,-0.00,0.00,-0.00
0.079,0.00,0.00,-0.00
0.081,0.00,0.00,-0.00
0.083,-0.00,0.00,-0.00
0.085,-0.00,0.00,-0.00
0.090,0.00,0.00,0.00
0.091,0.00,-0.00,0.00
0.093,0.00,-0.00,0.00
0.096,0.00,0.00,0.00
0.104,0.00,0.00,-0.00
0.105,0.00,0.00,-0.00
0.105,0.00,0.00,0.00
0.106,0.00,0.00,0.00
0.108,0.00,0.00,-0.00
0.112,0.00,0.00,-0.00
0.115,0.00,0.00,-0.00
0.116,0.00,-0.00,-0.00
0.119,0.00,0.00,-0.00
0.121,0.00,0.00,-0.00
0.127,0.00,0.00,-0.00
0.127,-0.00,0.00,-0.00
0.129,-0.00,-0.00,-0.00
0.131,-0.00,0.00,-0.00
0.136,-0.00,0.00,0.00
0.136,-0.00,0.00,-0.00
0.138,0.00,0.00,-0.00
0.141,-0.00,0.00,-0.00
0.143,0.00,0.00,0.00
0.147,0.00,0.00,-0.00
0.149,-0.00,0.00,-0.00
0.151,0.00,0.00,0.00
0.159,-0.00,-0.00,-0.00
0.159,0.00,0.00,-0.00
0.160,-0.00,0.00,-0.00
0.161,-0.00,0.00,-0.00
0.163,-0.00,0.00,0.00
0.167,-0.00,0.00,-0.00
0.169,0.00,0.00,-0.00
0.171,0.00,0.00,-0.00
0.174,-0.00,0.00,-0.00
0.176,0.00,0.00,-0.00
0.179,0.00,0.00,-0.00
0.182,0.00,0.00,-0.00
0.184,0.00,0.00,-0.00
0.188,0.00,0.00,-0.00
0.189,0.00,0.00,0.00
0.191,0.00,0.00,-0.00
0.194,0.00,0.00,-0.00
0.196,0.00,-0.00,0.00
0.204,0.00,0.00,-0.00
0.204,0.00,0.00,-0.00
0.204,-0.00,0.00,-0.00
0.206,0.00,0.00,0.00
0.215,0.00,0.00,-0.00
0.216,0.00,0.00,-0.00
0.216,-0.00,-0.00,0.00
0.217,-0.00,0.00,-0.00
0.219,0.00,0.00,-0.00
0.224,0.00,-0.00,-0.00
0.224,0.00,0.00,-0.00
0.227,-0.00,0.00,-0.00
0.229,0.00,0.00,0.00
0.232,-0.00,0.00,0.00
0.234,-0.00,0.00,0.00
0.237,0.00,0.00,-0.00
0.239,0.00,0.00,-0.00
0.242,0.00,0.00,-0.00
0.244,0.00,0.00,0.00
0.247,0.00,-0.00,0.00
0.249,0.00,0.00,-0.00
0.252,-0.00,0.00,-0.00
0.257,-0.00,0.00,-0.00
0.257,-0.00,0.00,-0.00
0.259,-0.00,0.00,-0.00
